"alA_l","alpha_aux_l","alrhoA_g","alrhoA_l","alrhoEA_g","alrhoEA_l","alrhouA_g","alrhouA_l","area_aux","density_aux_g","density_aux_l","internal_energy_aux_g","internal_energy_aux_l","mach_aux_g","mach_aux_l","pressure_aux_g","pressure_aux_l","total_energy_aux_g","total_energy_aux_l","velocity_x_aux_g","velocity_x_aux_l","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0.5,0.5,0.5,5,1.25e+06,250000,0,0,1,1,10,2.5e+06,500000,0,0,1e+06,1e+06,2.5e+06,500000,0,0,1,1,0,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-3.45988e-12,-2.40502e-11,1,1,10,2.5e+06,500000,5.84826e-15,8.78187e-15,1e+06,1e+06,2.5e+06,500000,-6.91976e-12,-4.81003e-12,2,2,0.002,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-7.03707e-12,-6.10546e-11,1,1,10,2.5e+06,500000,1.18948e-14,2.2294e-14,1e+06,1e+06,2.5e+06,500000,-1.40741e-11,-1.22109e-11,3,3,0.004,0,0
0.5,0.5,0.5,5,1.25e+06,250000,2.05917e-12,-1.32767e-11,1,1,10,2.5e+06,500000,3.48062e-15,4.84796e-15,1e+06,1e+06,2.5e+06,500000,4.11833e-12,-2.65534e-12,4,4,0.006,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-1.13189e-11,-3.73175e-11,1,1,10,2.5e+06,500000,1.91324e-14,1.36264e-14,1e+06,1e+06,2.5e+06,500000,-2.26378e-11,-7.4635e-12,5,5,0.008,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-6.79913e-12,-1.20232e-10,1,1,10,2.5e+06,500000,1.14926e-14,4.39027e-14,1e+06,1e+06,2.5e+06,500000,-1.35983e-11,-2.40465e-11,6,6,0.01,0,0
0.5,0.5,0.5,5,1.25e+06,250000,8.17362e-12,6.27478e-11,1,1,10,2.5e+06,500000,1.38159e-14,2.29122e-14,1e+06,1e+06,2.5e+06,500000,1.63472e-11,1.25496e-11,7,7,0.012,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-4.83584e-12,-1.124e-10,1,1,10,2.5e+06,500000,8.17406e-15,4.10427e-14,1e+06,1e+06,2.5e+06,500000,-9.67168e-12,-2.248e-11,8,8,0.014,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-1.21718e-12,-9.0306e-11,1,1,10,2.5e+06,500000,2.0574e-15,3.29751e-14,1e+06,1e+06,2.5e+06,500000,-2.43435e-12,-1.80612e-11,9,9,0.016,0,0
0.5,0.5,0.5,5,1.25e+06,250000,4.60631e-12,-2.74206e-11,1,1,10,2.5e+06,500000,7.78608e-15,1.00126e-14,1e+06,1e+06,2.5e+06,500000,9.21262e-12,-5.48411e-12,10,10,0.018,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-4.66436e-11,-7.53869e-11,1,1,10,2.5e+06,500000,7.88421e-14,2.75274e-14,1e+06,1e+06,2.5e+06,500000,-9.32872e-11,-1.50774e-11,11,11,0.02,0,0
0.5,0.5,0.5,5,1.25e+06,250000,4.4975e-13,-1.29925e-10,1,1,10,2.5e+06,500000,7.60215e-16,4.74418e-14,1e+06,1e+06,2.5e+06,500000,8.99499e-13,-2.5985e-11,12,12,0.022,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-1.20309e-11,-6.40913e-11,1,1,10,2.5e+06,500000,2.03359e-14,2.34028e-14,1e+06,1e+06,2.5e+06,500000,-2.40617e-11,-1.28183e-11,13,13,0.024,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-1.72085e-11,-1.51441e-10,1,1,10,2.5e+06,500000,2.90876e-14,5.52985e-14,1e+06,1e+06,2.5e+06,500000,-3.44169e-11,-3.02882e-11,14,14,0.026,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-6.60971e-12,-1.35817e-10,1,1,10,2.5e+06,500000,1.11724e-14,4.95933e-14,1e+06,1e+06,2.5e+06,500000,-1.32194e-11,-2.71633e-11,15,15,0.028,0,0
0.5,0.5,0.5,5,1.25e+06,250000,-2.50894e-12,-5.59782e-11,1,1,10,2.5e+06,500000,4.24088e-15,2.04403e-14,1e+06,1e+06,2.5e+06,500000,-5.01788e-12,-1.11956e-11,16,16,0.03,0,0
