"PI_aux","PI_bar_aux","rhoI_aux","tempI_aux","P_rel_aux","vel_rel_aux","Omega_aux","Aint_aux","ht_liq_aux","ht_gas_aux","EI_liq_aux","EI_gas_aux","beta_aux","beta_max_aux","jump_grad_alpha_smooth_aux_l","mu_aux_l","mu_max_aux_l","kappa_aux_l","kappa_max_aux_l","jump_grad_press_aux_l","jump_grad_alpha_aux_l","jump_grad_dens_aux_l","jump_grad_press_smooth_aux_l","jump_grad_dens_smooth_aux_l","mu_aux_g","kappa_aux_g","mu_max_aux_g","kappa_max_aux_g","jump_grad_press_aux_g","jump_grad_dens_aux_g","jump_grad_press_smooth_aux_g","jump_grad_dens_smooth_aux_g","ObjectId","GlobalElementId","PedigreeElementId"
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,2.95946e-15,2.95946e-15,2.85851e-11,0.547723,2.40502e-15,0.547723,0.547723,1.11163e-05,4.34426e-11,1.04592e-11,1.60933e-06,7.38964e-12,1.18322,1.18322,3.45988e-15,1.18322,2.83122e-06,8.58336e-12,1.56462e-06,1.61293e-12,0,1,1
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,8.74102e-15,8.74102e-15,5.38734e-11,0.547723,8.51048e-15,0.547723,0.547723,2.3365e-05,6.68052e-11,4.77485e-11,3.98606e-06,2.16005e-11,1.18322,1.18322,1.04969e-14,1.18322,6.07967e-06,1.13971e-11,4.03821e-06,4.69669e-12,0,2,2
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,6.85713e-15,6.85713e-15,4.67963e-11,0.547723,7.43313e-15,0.547723,0.547723,2.15769e-05,3.29834e-11,8.32188e-11,5.04404e-06,2.81943e-11,1.18322,1.18322,5.25171e-15,1.18322,4.79817e-06,4.77485e-12,5.17815e-06,5.84066e-12,0,3,3
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,5.33367e-15,5.33367e-15,6.28226e-11,0.547723,5.05942e-15,0.547723,0.547723,1.8239e-05,5.44844e-11,1.39607e-10,5.29736e-06,2.75122e-11,1.18322,1.18322,9.25973e-15,1.18322,1.13249e-05,1.00329e-11,4.99189e-06,3.89377e-12,0,4,4
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,1.64632e-14,1.64632e-14,1.06915e-10,0.547723,1.5755e-14,0.547723,0.547723,1.7345e-05,1.10532e-10,2.11912e-10,5.14835e-06,3.28555e-11,1.18322,1.18322,1.8118e-14,1.18322,1.3411e-05,1.42677e-11,4.48525e-06,2.63611e-12,0,5,5
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,9.91743e-15,9.91743e-15,1.44777e-10,0.547723,1.05644e-14,0.547723,0.547723,1.68979e-05,1.49868e-10,1.69166e-10,5.29736e-06,4.29736e-11,1.18322,1.18322,8.64453e-15,1.18322,5.06639e-06,1.04592e-11,4.96954e-06,4.07852e-12,0,6,6
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,9.68503e-15,9.68503e-15,1.50777e-10,0.547723,1.01122e-14,0.547723,0.547723,1.63913e-05,1.66651e-10,1.30967e-10,5.45382e-06,5.72982e-11,1.18322,1.18322,7.51102e-15,1.18322,8.52346e-06,4.68958e-12,5.36442e-06,3.99325e-12,0,7,7
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,1.7675e-14,1.7675e-14,1.30921e-10,0.547723,2.02706e-14,0.547723,0.547723,2.92659e-05,1.25283e-10,8.23093e-11,5.28991e-06,8.42419e-11,1.18322,1.18322,6.05301e-15,1.18322,2.22027e-05,3.60956e-12,4.86523e-06,1.80478e-12,0,8,8
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,9.66473e-15,9.66473e-15,1.60277e-10,0.547723,1.17727e-14,0.547723,0.547723,4.11272e-05,1.14767e-10,2.86491e-11,5.06639e-06,1.02318e-10,1.18322,1.18322,3.38913e-15,1.18322,2.82824e-05,9.20863e-12,4.4629e-06,1.0516e-12,0,9,9
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,1.64641e-14,1.64641e-14,2.7374e-10,0.547723,1.02807e-14,0.547723,0.547723,2.63453e-05,2.79144e-10,6.86668e-11,4.23938e-06,8.15135e-11,1.18322,1.18322,4.20373e-14,1.18322,1.82688e-05,6.99174e-12,3.89665e-06,1.41398e-12,0,10,10
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,2.48978e-14,2.48978e-14,3.33465e-10,0.547723,2.05312e-14,0.547723,0.547723,1.49608e-05,4.03688e-10,7.7307e-11,3.58373e-06,4.66116e-11,1.18322,1.18322,4.61939e-14,1.18322,1.81198e-05,8.52651e-12,3.36021e-06,1.49214e-12,0,11,11
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,1.77064e-14,1.77064e-14,2.44953e-10,0.547723,1.94016e-14,0.547723,0.547723,2.3365e-05,2.45905e-10,1.16415e-10,4.18723e-06,3.69482e-11,1.18322,1.18322,1.15811e-14,1.18322,1.86861e-05,1.29319e-11,3.91155e-06,1.79057e-12,0,12,12
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,2.28487e-14,2.28487e-14,1.25652e-10,0.547723,2.15532e-14,0.547723,0.547723,2.48253e-05,9.94902e-11,1.04592e-10,4.91738e-06,3.39924e-11,1.18322,1.18322,2.92393e-14,1.18322,1.13547e-05,6.73595e-12,4.76092e-06,2.59348e-12,0,13,13
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,2.7985e-14,2.7985e-14,6.4837e-11,0.547723,2.87258e-14,0.547723,0.547723,1.62721e-05,6.24425e-11,2.50111e-11,4.13507e-06,2.13731e-11,1.18322,1.18322,2.38182e-14,1.18322,2.05636e-05,9.26548e-12,4.05312e-06,3.19034e-12,0,14,14
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,1.71475e-14,1.71475e-14,5.06297e-11,0.547723,1.91795e-14,0.547723,0.547723,1.13547e-05,2.64606e-11,2.54659e-11,2.43634e-06,1.55751e-11,1.18322,1.18322,9.11865e-15,1.18322,3.14713e-05,1.7792e-11,2.30968e-06,2.57927e-12,0,15,15
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,1.59314e-14,1.59314e-14,8.95746e-11,0.547723,1.58267e-14,0.547723,0.547723,9.83477e-06,8.24087e-11,7.27596e-11,2.78652e-06,3.0127e-11,1.18322,1.18322,1.88763e-14,1.18322,2.49147e-05,1.19655e-11,2.76417e-06,2.089e-12,0,16,16
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,2.20542e-14,2.20542e-14,1.30719e-10,0.547723,2.07027e-14,0.547723,0.547723,2.14577e-05,1.65258e-10,1.50067e-10,4.96954e-06,7.43512e-11,1.18322,1.18322,2.71793e-14,1.18322,1.14739e-05,1.03739e-11,5.00679e-06,3.51719e-12,0,17,17
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,1.58051e-14,1.58051e-14,1.31582e-10,0.547723,1.52734e-14,0.547723,0.547723,2.99811e-05,1.07619e-10,1.37788e-10,4.72367e-06,1.1255e-10,1.18322,1.18322,1.78728e-14,1.18322,9.11951e-06,1.06013e-11,4.59701e-06,4.36273e-12,0,18,18
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,1.45924e-14,1.45924e-14,1.9471e-10,0.547723,1.18351e-14,0.547723,0.547723,1.9908e-05,1.5234e-10,8.73115e-11,2.55555e-06,9.75433e-11,1.18322,1.18322,2.72084e-14,1.18322,1.60336e-05,3.97904e-12,2.27243e-06,3.04112e-12,0,19,19
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,1.58712e-14,1.58712e-14,3.51307e-10,0.547723,1.18427e-14,0.547723,0.547723,8.04663e-06,3.80467e-10,9.59517e-11,2.13087e-06,4.8999e-11,1.18322,1.18322,3.36338e-14,1.18322,1.76132e-05,6.96332e-12,1.885e-06,1.89004e-12,0,20,20
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,1.19836e-14,1.19836e-14,4.70205e-10,0.547723,1.09425e-14,0.547723,0.547723,1.02818e-05,5.03093e-10,8.23093e-11,3.06964e-06,2.04636e-11,1.18322,1.18322,1.62124e-14,1.18322,9.74536e-06,1.06866e-11,3.17395e-06,1.91847e-12,0,21,21
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,9.56019e-15,9.56019e-15,4.75524e-10,0.547723,9.72428e-15,0.547723,0.547723,2.3663e-05,5.07583e-10,1.00044e-10,3.57628e-06,3.06954e-11,1.18322,1.18322,1.11619e-14,1.18322,3.57628e-06,5.6275e-12,4.00841e-06,2.2311e-12,0,22,22
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,8.01855e-15,8.01855e-15,3.73102e-10,0.547723,6.69741e-15,0.547723,0.547723,1.66297e-05,4.08249e-10,6.54836e-11,2.63751e-06,4.93401e-11,1.18322,1.18322,1.16253e-14,1.18322,4.32134e-06,3.80851e-12,2.92063e-06,2.224e-12,0,23,23
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,7.36171e-15,7.36171e-15,2.44267e-10,0.547723,7.1418e-15,0.547723,0.547723,7.03335e-06,1.95257e-10,3.00133e-11,1.80304e-06,5.42286e-11,1.18322,1.18322,6.21512e-15,1.18322,6.31809e-06,5.40012e-12,1.76579e-06,2.0961e-12,0,24,24
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,8.28708e-15,8.28708e-15,1.96575e-10,0.547723,8.23992e-15,0.547723,0.547723,5.78165e-06,1.9368e-10,5.63887e-11,2.71946e-06,4.6839e-11,1.18322,1.18322,6.58677e-15,1.18322,6.85453e-06,4.09273e-12,2.52575e-06,2.04636e-12,0,25,25
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,7.59594e-15,7.59594e-15,1.8775e-10,0.547723,6.79428e-15,0.547723,0.547723,8.46386e-06,2.02192e-10,1.15051e-10,2.90573e-06,3.05818e-11,1.18322,1.18322,7.86328e-15,1.18322,1.18315e-05,9.89075e-12,2.68221e-06,2.15294e-12,0,26,26
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,4.33804e-15,4.33804e-15,1.66747e-10,0.547723,3.51087e-15,0.547723,0.547723,8.16584e-06,1.39906e-10,1.01409e-10,1.82539e-06,1.83036e-11,1.18322,1.18322,4.37913e-15,1.18322,1.15335e-05,1.06866e-11,1.79559e-06,2.55795e-12,0,27,27
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,1.52141e-15,1.52141e-15,1.63784e-10,0.547723,1.70202e-15,0.547723,0.547723,7.51019e-06,1.72804e-10,2.72848e-11,1.54227e-06,2.04636e-11,1.18322,1.18322,1.13484e-15,1.18322,4.23193e-06,3.41061e-12,1.885e-06,3.70193e-12,0,28,28
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,1.13243e-15,1.13243e-15,1.75202e-10,0.547723,1.34257e-15,0.547723,0.547723,1.7494e-05,1.62203e-10,5.27507e-11,1.77324e-06,4.04725e-11,1.18322,1.18322,1.731e-15,1.18322,6.02007e-06,1.00044e-11,2.40654e-06,5.77671e-12,0,29,29
1e+06,1e+06,10,20000,1.5014,4.8651e+06,0,10000,0,0,150000,70000,1.4635e-15,1.4635e-15,1.7452e-10,0.547723,2.34965e-15,0.547723,0.547723,1.7345e-05,1.9719e-10,8.68567e-11,2.10106e-06,6.36646e-11,1.18322,1.18322,2.89669e-15,1.18322,7.06315e-06,1.46088e-11,2.82377e-06,6.50147e-12,0,30,30
